train epoch: 21 batch: 4000 cost: 0.615775
train epoch: 21 batch: 8000 cost: 0.592254
train epoch: 21 batch: 12000 cost: 0.575002
train epoch: 21 batch: 16000 cost: 0.611859
train epoch: 22 batch: 0 cost: 0.554473
train epoch: 22 batch: 4000 cost: 0.618689
train epoch: 22 batch: 8000 cost: 0.547711
train epoch: 22 batch: 12000 cost: 0.556554
train epoch: 22 batch: 16000 cost: 0.549848
train epoch: 23 batch: 0 cost: 0.538435
train epoch: 23 batch: 4000 cost: 0.540202
train epoch: 23 batch: 8000 cost: 0.496283
train epoch: 23 batch: 12000 cost: 0.505287
train epoch: 23 batch: 16000 cost: 0.614411
train epoch: 24 batch: 0 cost: 0.609656
train epoch: 24 batch: 4000 cost: 0.526367
train epoch: 24 batch: 8000 cost: 0.54927
train epoch: 24 batch: 12000 cost: 0.503866
train epoch: 24 batch: 16000 cost: 0.51888
train epoch: 25 batch: 0 cost: 0.51388
train epoch: 25 batch: 4000 cost: 0.497262
train epoch: 25 batch: 8000 cost: 0.486398
train epoch: 25 batch: 12000 cost: 0.512013
train epoch: 25 batch: 16000 cost: 0.452535
train epoch: 26 batch: 0 cost: 0.47581
train epoch: 26 batch: 4000 cost: 0.474741
train epoch: 26 batch: 8000 cost: 0.446744
train epoch: 26 batch: 12000 cost: 0.460525
train epoch: 26 batch: 16000 cost: 0.427629
train epoch: 27 batch: 0 cost: 0.436138
train epoch: 27 batch: 4000 cost: 0.507787
train epoch: 27 batch: 8000 cost: 0.688489
train epoch: 27 batch: 12000 cost: 0.441859
train epoch: 27 batch: 16000 cost: 0.628362
train epoch: 28 batch: 0 cost: 0.47358
train epoch: 28 batch: 4000 cost: 0.524588
train epoch: 28 batch: 8000 cost: 0.491486
train epoch: 28 batch: 12000 cost: 0.617782
train epoch: 28 batch: 16000 cost: 0.538813
train epoch: 29 batch: 0 cost: 0.522716
train epoch: 29 batch: 4000 cost: 0.495229
train epoch: 29 batch: 8000 cost: 0.516944
train epoch: 29 batch: 12000 cost: 0.460232
train epoch: 29 batch: 16000 cost: 0.494267
train epoch: 30 batch: 0 cost: 0.444854
train epoch: 30 batch: 4000 cost: 0.481741
train epoch: 30 batch: 8000 cost: 0.437304
train epoch: 30 batch: 12000 cost: 0.463854
train epoch: 30 batch: 16000 cost: 0.431957
train epoch: 31 batch: 0 cost: 0.453877
train epoch: 31 batch: 4000 cost: 0.432609
train epoch: 31 batch: 8000 cost: 0.435238
train epoch: 31 batch: 12000 cost: 0.421009
train epoch: 31 batch: 16000 cost: 0.401789
train epoch: 32 batch: 0 cost: 0.42164
train epoch: 32 batch: 4000 cost: 0.387999
train epoch: 32 batch: 8000 cost: 0.470033
train epoch: 32 batch: 12000 cost: 0.541037
train epoch: 32 batch: 16000 cost: 0.508582
train epoch: 33 batch: 0 cost: 0.480688
train epoch: 33 batch: 4000 cost: 0.471447
train epoch: 33 batch: 8000 cost: 0.46152
train epoch: 33 batch: 12000 cost: 0.443072
train epoch: 33 batch: 16000 cost: 0.434685
train epoch: 34 batch: 0 cost: 0.433813
train epoch: 34 batch: 4000 cost: 0.446615
train epoch: 34 batch: 8000 cost: 0.420953
train epoch: 34 batch: 12000 cost: 0.394961
train epoch: 34 batch: 16000 cost: 0.403624
train epoch: 35 batch: 0 cost: 0.414861
train epoch: 35 batch: 4000 cost: 0.414459
train epoch: 35 batch: 8000 cost: 0.380732
train epoch: 35 batch: 12000 cost: 0.367154
train epoch: 35 batch: 16000 cost: 0.395443
train epoch: 36 batch: 0 cost: 0.413994
train epoch: 36 batch: 4000 cost: 0.371221
train epoch: 36 batch: 8000 cost: 0.361837
train epoch: 36 batch: 12000 cost: 0.360899
train epoch: 36 batch: 16000 cost: 0.3685
train epoch: 37 batch: 0 cost: 0.363625
train epoch: 37 batch: 4000 cost: 0.347524
train epoch: 37 batch: 8000 cost: 0.335399
train epoch: 37 batch: 12000 cost: 0.331734
train epoch: 37 batch: 16000 cost: 0.340553
train epoch: 38 batch: 0 cost: 0.331173
train epoch: 38 batch: 4000 cost: 0.32396
train epoch: 38 batch: 8000 cost: 0.360408
train epoch: 38 batch: 12000 cost: 0.62706
train epoch: 38 batch: 16000 cost: 0.439966
train epoch: 39 batch: 0 cost: 0.473702
train epoch: 39 batch: 4000 cost: 0.428333
train epoch: 39 batch: 8000 cost: 0.474017
train epoch: 39 batch: 12000 cost: 0.364823
train epoch: 39 batch: 16000 cost: 0.517873
train epoch: 40 batch: 0 cost: 0.405105
train epoch: 40 batch: 4000 cost: 0.45076
train epoch: 40 batch: 8000 cost: 0.384505
train epoch: 40 batch: 12000 cost: 0.424723
train epoch: 40 batch: 16000 cost: 0.384684
train epoch: 41 batch: 0 cost: 0.419873
train epoch: 41 batch: 4000 cost: 0.358063
train epoch: 41 batch: 8000 cost: 0.369449
train epoch: 41 batch: 12000 cost: 0.340659
train epoch: 41 batch: 16000 cost: 0.351143
train epoch: 42 batch: 0 cost: 0.358222
train epoch: 42 batch: 4000 cost: 0.335251
train epoch: 42 batch: 8000 cost: 0.326317
train epoch: 42 batch: 12000 cost: 0.323717
train epoch: 42 batch: 16000 cost: 0.322644
train epoch: 43 batch: 0 cost: 0.326475
train epoch: 43 batch: 4000 cost: 0.315164
train epoch: 43 batch: 8000 cost: 0.337967
train epoch: 43 batch: 12000 cost: 0.405637
train epoch: 43 batch: 16000 cost: 0.478662
train epoch: 44 batch: 0 cost: 0.334615
train epoch: 44 batch: 4000 cost: 0.392592
train epoch: 44 batch: 8000 cost: 0.413195
train epoch: 44 batch: 12000 cost: 0.36192
train epoch: 44 batch: 16000 cost: 0.368516
train epoch: 45 batch: 0 cost: 0.367036
train epoch: 45 batch: 4000 cost: 0.338892
train epoch: 45 batch: 8000 cost: 0.382646
train epoch: 45 batch: 12000 cost: 0.324469
