train epoch: 25 batch: 8000 cost: 0.487721
train epoch: 25 batch: 12000 cost: 0.50221
train epoch: 25 batch: 16000 cost: 0.567873
train epoch: 26 batch: 0 cost: 0.476071
train epoch: 26 batch: 4000 cost: 0.494772
train epoch: 26 batch: 8000 cost: 0.490579
train epoch: 26 batch: 12000 cost: 0.453763
train epoch: 26 batch: 16000 cost: 0.504692
train epoch: 27 batch: 0 cost: 0.451184
train epoch: 27 batch: 4000 cost: 0.442437
train epoch: 27 batch: 8000 cost: 0.49011
train epoch: 27 batch: 12000 cost: 0.466383
train epoch: 27 batch: 16000 cost: 0.421776
train epoch: 28 batch: 0 cost: 0.468029
train epoch: 28 batch: 4000 cost: 0.427876
train epoch: 28 batch: 8000 cost: 0.426254
train epoch: 28 batch: 12000 cost: 0.476569
train epoch: 28 batch: 16000 cost: 0.408106
train epoch: 29 batch: 0 cost: 0.395574
train epoch: 29 batch: 4000 cost: 0.456491
train epoch: 29 batch: 8000 cost: 0.628247
train epoch: 29 batch: 12000 cost: 0.388522
train epoch: 29 batch: 16000 cost: 0.572156
train epoch: 30 batch: 0 cost: 0.441367
train epoch: 30 batch: 4000 cost: 0.496014
train epoch: 30 batch: 8000 cost: 0.426198
train epoch: 30 batch: 12000 cost: 0.484002
train epoch: 30 batch: 16000 cost: 0.450338
train epoch: 31 batch: 0 cost: 0.417445
train epoch: 31 batch: 4000 cost: 0.411156
train epoch: 31 batch: 8000 cost: 0.379541
train epoch: 31 batch: 12000 cost: 0.37678
train epoch: 31 batch: 16000 cost: 0.402118
train epoch: 32 batch: 0 cost: 0.41829
train epoch: 32 batch: 4000 cost: 0.382169
train epoch: 32 batch: 8000 cost: 0.360664
train epoch: 32 batch: 12000 cost: 0.404529
train epoch: 32 batch: 16000 cost: 0.372095
train epoch: 33 batch: 0 cost: 0.354132
train epoch: 33 batch: 4000 cost: 0.39016
train epoch: 33 batch: 8000 cost: 0.354783
train epoch: 33 batch: 12000 cost: 0.335197
train epoch: 33 batch: 16000 cost: 0.329305
train epoch: 34 batch: 0 cost: 0.354846
train epoch: 34 batch: 4000 cost: 0.38875
train epoch: 34 batch: 8000 cost: 0.37356
train epoch: 34 batch: 12000 cost: 0.310751
train epoch: 34 batch: 16000 cost: 0.347566
train epoch: 35 batch: 0 cost: 0.322552
